Id,Rol,Sexo,Edad,Cantidad víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Tipo de calle,Calle,Cruce,Lugar del hecho,Comuna,XY (CABA),Latitud,Longitud,Participantes,Víctima,Acusado,Rango etario
2016-0015,PEATON,FEMENINO,16,1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",Si,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,Point (102357.43746828 103343.52002839),-34.59912758,-58.43760020,PEATON-AUTO,PEATON,AUTO,JOVENES
2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,Si,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,Point (108661.59115206 98481.75445555),-34.64291993,-58.36882665,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0017,PEATON,MASCULINO,59,1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",Si,"ACOSTA, MARIANO y JANER, ANA MARIA",8,Point (101228.61094416 96623.72136186),-34.65970435,-58.44989671,PEATON-MOTO,PEATON,MOTO,ADULTOS MAYORES
2016-0019,PEATON,FEMENINO,65,1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"DE LA TORRE, LISANDRO",Si,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,Point (95727.37083199 97179.35560349),-34.65468721,-58.50990884,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0020,PEATON,MASCULINO,59,1,2016-02-17,2016,2,17,16:00:00,16,CALLE,SUIPACHA,No,SUIPACHA 156,1,Point (107684.31807562 102519.17333314),-34.60653282,-58.37952223,PEATON-AUTO,PEATON,AUTO,ADULTOS MAYORES
2016-0021,CONDUCTOR,MASCULINO,34,1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,DIRECTORIO AV.,Si,DIRECTORIO AV. y CURAPALIGUE,7,Point (101074.94198885 99848.19369046),-34.63063795,-58.45157703,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41,1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,9 DE JULIO AV.,Si,"9 DE JULIO AV. y ALSINA, ADOLFO",1,Point (107507.39502374 102046.08333077),-34.61079875,-58.38144696,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34,1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,Point (100077.95205948 91571.23307293),-34.70524971,-58.46244952,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0026,CONDUCTOR,MASCULINO,30,1,2016-02-28,2016,2,28,07:30:00,7,CALLE,HOLMBERG,Si,HOLMBERG y VEDIA,12,Point (97350.75566590 109083.19420265),-34.54738649,-58.49216191,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,ADULTOS
2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,34,1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,CURAPALIGUE AV.,Si,"CURAPALIGUE AV. y DIAZ, AVELINO",7,Point (101679.82794245 98973.02976850),-34.63852623,-58.44497874,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0028,PEATON,MASCULINO,50,1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,VIAMONTE,Si,VIAMONTE y 9 DE JULIO AV.,1,Point (107457.87314266 103212.28518029),-34.60028648,-58.38199706,PEATON-CARGAS,PEATON,CARGAS,ADULTOS
2016-0029,PEATON,MASCULINO,38,1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,CABILDO AV.,Si,CABILDO AV. y DEHEZA,12,Point (99037.31284333 109733.12041651),-34.54153077,-58.47378664,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0031,CONDUCTOR,MASCULINO,21,1,2016-03-08,2016,3,8,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,Point (99327.01838497 92326.91130631),-34.69843756,-58.47064556,MOTO-PASAJEROS,MOTO,PASAJEROS,JOVENES
2016-0034,PEATON,MASCULINO,52,1,2016-03-12,2016,3,12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",Si,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,Point (105230.98315750 97613.97258373),-34.65076549,-58.40623949,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0035,CONDUCTOR,MASCULINO,34,1,2016-03-13,2016,3,13,06:00:00,6,AVENIDA,CORRIENTES AV.,Si,CORRIENTES AV. y CALLAO AV.,3,Point (106513.41423248 102752.75354401),-34.60443527,-58.39228965,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0036,PASAJERO_ACOMPAÑANTE,MASCULINO,36,1,2016-03-14,2016,3,14,00:15:00,0,CALLE,HERRERA,Si,"HERRERA y VALLE, ARISTOBULO DEL",4,Point (107808.84957181 99174.17105826),-34.63668504,-58.37813396,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0037,CONDUCTOR,MASCULINO,20,1,2016-03-19,2016,3,19,11:00:00,11,AVENIDA,LAFUENTE AV.,Si,LAFUENTE AV. y QUIRNO,7,Point (100049.60313526 98412.21255444),-34.64358293,-58.46275892,MOTO-MOTO,MOTO,MOTO,JOVENES
2016-0038,PEATON,MASCULINO,29,1,2016-03-21,2016,3,21,08:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y ZUVIRIA",8,Point (96926.79887463 94490.76318635),-34.67892743,-58.49683458,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0039,CONDUCTOR,MASCULINO,20,1,2016-03-23,2016,3,23,01:50:00,1,AVENIDA,"MITRE, BARTOLOME",Si,"MITRE, BARTOLOME y PUEYRREDON AV.",3,Point (105252.60308563 102264.96028996),-34.60883960,-58.40603217,MOTO-PASAJEROS,MOTO,PASAJEROS,JOVENES
2016-0041,CONDUCTOR,MASCULINO,54,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,Si,DIRECTORIO AV. y RIVERA INDARTE AV.,7,Point (100232.38564985 99530.25843190),-34.63350444,-58.46076550,MOTO-CARGAS,MOTO,CARGAS,ADULTOS MAYORES
2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,39,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,Si,DIRECTORIO AV. y RIVERA INDARTE AV.,7,Point (100232.38564985 99530.25843190),-34.63350444,-58.46076550,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0043,PEATON,FEMENINO,56,1,2016-03-30,2016,3,30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",Si,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,Point (98623.04338909 94933.06478837),-34.67494416,-58.47832463,PEATON-CARGAS,PEATON,CARGAS,ADULTOS MAYORES
2016-0044,CONDUCTOR,MASCULINO,24,1,2016-03-31,2016,3,31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",Si,"MORENO, JOSE MARIA AV. y BALBASTRO",7,Point (102857.73817324 99148.76714504),-34.63693953,-58.43213235,MULTIPLE,MOTO,MULTIPLE,JOVENES
2016-0045,CONDUCTOR,MASCULINO,39,1,2016-04-11,2016,4,11,10:25:00,10,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,Point (99620.34936816 110483.29286598),-34.53476874,-58.46743471,MOTO-SD,MOTO,SD,ADULTOS
2016-0047,PEATON,MASCULINO,41,1,2016-04-15,2016,4,15,05:30:00,5,CALLE,LIMA,No,LIMA 1483,1,Point (107412.19098904 100391.02557777),-34.62571878,-58.38247061,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0048,PEATON,FEMENINO,50,1,2016-04-15,2016,4,15,17:40:00,17,AVENIDA,CORRIENTES AV.,Si,CORRIENTES AV. y DORREGO AV.,15,Point (101440.29935254 104167.40204334),-34.59170240,-58.44759966,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0049,CONDUCTOR,MASCULINO,39,1,2016-04-17,2016,4,17,00:00:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,No,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,0,-34.63657525428238,-58.37714647568196,SD-SD,SD,SD,ADULTOS
2016-0050,PEATON,MASCULINO,78,1,2016-04-19,2016,4,19,09:50:00,9,AVENIDA,"GORDILLO, TIMOTEO",Si,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,Point (99106.14718950 93761.32882893),-34.68550712,-58.47305463,PEATON-PASAJEROS,PEATON,PASAJEROS,ANCIANOS
2016-0051,CONDUCTOR,MASCULINO,36,1,2016-04-20,2016,4,20,04:00:00,4,AVENIDA,"ALCORTA, AMANCIO AV.",Si,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,Point (105230.98315750 97613.97258373),-34.65076549,-58.40623949,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0052,CONDUCTOR,MASCULINO,39,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",No,AUTOPISTA LUGONES PK 10000,13,0,0,0,MOTO-SD,MOTO,SD,ADULTOS
2016-0053,PEATON,MASCULINO,38,1,2016-04-22,2016,4,22,09:30:00,9,AVENIDA,TRIUNVIRATO AV.,Si,TRIUNVIRATO AV. y OLAZABAL AV.,12,Point (98073.80557770 105955.73972818),-34.57558053,-58.48429180,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0054,CONDUCTOR,MASCULINO,30,1,2016-04-23,2016,4,23,21:00:00,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Si,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,Point (97832.57143731 93489.83736533),-34.68795245,-58.48695354,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0055,PEATON,MASCULINO,79,1,2016-04-25,2016,4,25,20:30:00,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",Si,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,Point (105787.74102401 105502.98340149),-34.57964781,-58.40021959,PEATON-CARGAS,PEATON,CARGAS,ANCIANOS
2016-0056,CONDUCTOR,MASCULINO,26,1,2016-04-26,2016,4,26,04:45:00,4,AVENIDA,"CAMPOS, LUIS M. AV.",No,"CAMPOS, LUIS M. AV. 30",14,Point (103094.06446966 105842.29634122),-34.57660058,-58.42957885,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,ADULTOS
2016-0058,PEATON,FEMENINO,57,1,2016-05-04,2016,5,4,14:00:00,14,CALLE,LIMA,No,LIMA 1471,1,Point (107411.76356149 100408.31441284),-34.62556293,-58.38247542,PEATON-MOTO,PEATON,MOTO,ADULTOS MAYORES
2016-0059,PEATON,MASCULINO,37,1,2016-05-08,2016,5,8,16:30:00,16,CALLE,CIUDADELA,Si,CIUDADELA y LIMA,1,Point (107434.83290791 100217.70308007),-34.62728101,-58.38222219,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0064,PEATON,MASCULINO,20,1,2016-05-14,2016,5,14,18:11:00,18,AVENIDA,"JUSTO, JUAN B. AV.",Si,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,Point (97106.70264812 99970.19547024),-34.62953445,-58.49485242,PEATON-PASAJEROS,PEATON,PASAJEROS,JOVENES
2016-0065,PEATON,MASCULINO,20,1,2016-05-20,2016,5,20,14:40:00,14,AVENIDA,GAONA AV.,Si,GAONA AV. y ESPINOSA,6,Point (101010.75965434 102062.18185970),-34.61068024,-58.45227946,PEATON-AUTO,PEATON,AUTO,JOVENES
2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,30,1,2016-05-21,2016,5,21,17:00:00,17,AVENIDA,"DE LA TORRE, LISANDRO",Si,"DE LA TORRE, LISANDRO y SARAZA",8,Point (98052.13008621 94912.60873025),-34.67512760,-58.48455411,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0068,CONDUCTOR,MASCULINO,58,1,2016-05-22,2016,5,22,22:00:00,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Si,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,Point (106673.12856878 104998.99234220),-34.58418569,-58.39056593,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS MAYORES
2016-0069,CONDUCTOR,MASCULINO,30,1,2016-05-23,2016,5,23,03:30:00,3,AVENIDA,ENTRE RIOS AV.,Si,ENTRE RIOS AV. y FILIBERTO,3,Point (106612.54991859 100244.75667446),-34.62704273,-58.39118948,AUTO-CARGAS,AUTO,CARGAS,ADULTOS
2016-0073,CONDUCTOR,MASCULINO,23,1,2016-06-11,2016,6,11,15:00:00,15,CALLE,"MAGARI?OS CERVANTES, A.",No,"MAGARIÃ‘OS CERVANTES, A. 3900",10,Point (97531.24792840 101000.15957301),-34.62025108,-58.49021952,MOTO-CARGAS,MOTO,CARGAS,JOVENES
2016-0074,CONDUCTOR,MASCULINO,60,1,2016-06-12,2016,6,12,06:40:00,6,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,Point (96731.44252651 94668.88351657),-34.67732118,-58.49896559,AUTO-AUTO,AUTO,AUTO,ADULTOS MAYORES
2016-0075,PEATON,MASCULINO,42,1,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Si,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,Point (98963.32962830 95620.61360192),-34.66874679,-58.47461076,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0076,PEATON,FEMENINO,53,1,2016-06-13,2016,6,13,16:20:00,16,AVENIDA,SAN MARTIN AV.,Si,SAN MARTIN AV. y CAMARONES,15,Point (100109.22264405 102851.86942760),-34.60356211,-58.46210891,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0077,PEATON,FEMENINO,50,1,2016-06-13,2016,6,13,21:52:00,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",Si,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,Point (108532.37320501 102648.40418720),-34.60536123,-58.37027770,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0078,CONDUCTOR,MASCULINO,30,1,2016-06-13,2016,6,13,23:01:00,23,AVENIDA,BELGRANO AV.,Si,BELGRANO AV. y JUJUY AV.,3,Point (105354.74322032 101621.63182427),-34.61463830,-58.40491455,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0079,CONDUCTOR,FEMENINO,51,1,2016-06-16,2016,6,16,17:13:00,17,AVENIDA,DEL LIBERTADOR AV.,Si,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,Point (100757.94817512 108943.96108781),-34.54864492,-58.45504154,AUTO-AUTO,AUTO,AUTO,ADULTOS MAYORES
2016-0080,CONDUCTOR,MASCULINO,60,1,2016-06-18,2016,6,18,06:42:00,6,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,Point (93950.50587297 98883.37644525),-34.63931752,-58.52927982,AUTO-SD,AUTO,SD,ADULTOS MAYORES
2016-0081,CONDUCTOR,MASCULINO,40,1,2016-06-22,2016,6,22,07:42:00,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",Si,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,Point (97805.54034401 107789.89169078),-34.55904606,-58.48721060,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0082,PEATON,MASCULINO,87,1,2016-06-27,2016,6,27,18:24:00,18,AVENIDA,LA PLATA AV.,No,LA PLATA AV. 2384,4,Point (103719.51591058 98555.13443768),-34.64228803,-58.42273092,PEATON-AUTO,PEATON,AUTO,ANCIANOS
2016-0083,PEATON,FEMENINO,76,1,2016-06-28,2016,6,28,20:46:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Si,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,Point (101413.41644585 100430.31523295),-34.62539009,-58.44788671,PEATON-MOTO,PEATON,MOTO,ANCIANOS
2016-0084,PEATON,MASCULINO,57,1,2016-06-29,2016,6,29,22:00:00,22,CALLE,"PELLEGRINI, CARLOS",Si,"PELLEGRINI, CARLOS y TUCUMAN",1,Point (107539.54864414 103093.65031518),-34.60135531,-58.38110563,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0085,CONDUCTOR,MASCULINO,39,1,2016-06-29,2016,6,29,22:00:00,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",Si,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,Point (103621.92252760 96885.28433165),-34.65734100,-58.42378834,MOTO-MOVIL,MOTO,OTRO,ADULTOS
2016-0086,PEATON,MASCULINO,75,1,2016-06-30,2016,6,30,16:10:00,16,AVENIDA,OLIVERA AV.,Si,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,Point (97801.31825511 99194.93911759),-34.63652467,-58.48727942,PEATON-PASAJEROS,PEATON,PASAJEROS,ANCIANOS
2016-0087,CONDUCTOR,MASCULINO,23,1,2016-07-02,2016,7,3,00:10:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,No,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,Point (107762.62066736 100018.90176187),-34.62907067,-58.37864583,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,JOVENES
2016-0088,PEATON,FEMENINO,70,1,2016-07-11,2016,7,11,15:30:00,15,CALLE,CERETTI,Si,CERETTI y NUÃ‘EZ,12,Point (96492.89040317 106832.19475660),-34.56767549,-58.50151750,PEATON-AUTO,PEATON,AUTO,ADULTOS MAYORES
2016-0089,PEATON,MASCULINO,35,1,2016-07-14,2016,7,14,06:40:00,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",Si,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,Point (102842.06561704 108587.10659007),-34.55185825,-58.43233425,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0090,PEATON,MASCULINO,60,1,2016-07-14,2016,7,14,22:00:00,22,AVENIDA,"SALGUERO, JERONIMO",Si,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,Point (103997.04813615 102012.34139150),-34.61112240,-58.41971993,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0092,CONDUCTOR,MASCULINO,24,1,2016-07-15,2016,7,15,11:00:00,11,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,Point (99620.34936816 110483.29286598),-34.53476874,-58.46743471,MOTO-CARGAS,MOTO,CARGAS,JOVENES
2016-0093,CONDUCTOR,MASCULINO,35,1,2016-07-17,2016,7,17,03:30:00,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Si,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,Point (101804.61714036 100693.45218194),-34.62301748,-58.44362126,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0095,CONDUCTOR,MASCULINO,29,1,2016-07-23,2016,7,23,06:12:00,6,AVENIDA,MERCEDES,Si,MERCEDES y MOSCONI GENERAL AV.,11,Point (95061.77375682 103748.74085597),-34.59546519,-58.51713095,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0096,CONDUCTOR,MASCULINO,39,1,2016-07-25,2016,7,25,07:00:00,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,No,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,0,-34.66684950051973,-58.47433193007387,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0097,PEATON,MASCULINO,80,1,2016-07-26,2016,7,26,18:45:00,18,CALLE,SOLIS,Si,SOLIS y MEXICO,1,Point (106687.13301820 101510.97040757),-34.61562810,-58.39038605,PEATON-AUTO,PEATON,AUTO,ANCIANOS
2016-0098,CONDUCTOR,FEMENINO,43,1,2016-07-27,2016,7,27,16:08:00,16,AVENIDA,SAN JUAN AV.,Si,SAN JUAN AV. y ALBERTI,3,Point (105765.97394356 100631.47718024),-34.62356174,-58.40042405,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0099,CONDUCTOR,MASCULINO,45,1,2016-07-29,2016,7,29,16:00:00,16,GRAL PAZ,MOSCONI GENERAL AV.,Si,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,Point (94486.28631712 103468.59928582),-34.59798754,-58.52340614,CARGAS-CARGAS,CARGAS,CARGAS,ADULTOS
2016-0100,CONDUCTOR,MASCULINO,57,1,2016-08-03,2016,8,3,23:27:00,23,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DONADO",12,Point (97098.48468623 109019.96106626),-34.54795581,-58.49491054,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,ADULTOS MAYORES
2016-0101,CONDUCTOR,MASCULINO,67,1,2016-08-07,2016,8,7,19:42:00,19,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,Point (93946.81673714 97681.68907836),-34.65014993,-58.52932872,SD-SD,SD,SD,ADULTOS MAYORES
2016-0102,CONDUCTOR,MASCULINO,29,1,2016-08-10,2016,8,10,23:37:00,23,AVENIDA,"PERON, EVA AV.",Si,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,Point (96625.80612216 95129.90776954),-34.67316502,-58.50011639,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0104,CONDUCTOR,MASCULINO,21,1,2016-08-14,2016,8,14,21:15:00,21,AVENIDA,ZINNY,Si,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,Point (99720.41444035 97007.69579491),-34.65624369,-58.46635001,MOTO-PASAJEROS,MOTO,PASAJEROS,JOVENES
2016-0105,PEATON,MASCULINO,19,1,2016-08-17,2016,8,17,00:05:00,0,AVENIDA,"LACROZE, FEDERICO AV.",Si,"LACROZE, FEDERICO AV. y FRAGA",15,Point (100905.28580812 104982.19279501),-34.58435809,-58.45343236,PEATON-PASAJEROS,PEATON,PASAJEROS,JOVENES
2016-0106,PEATON,MASCULINO,38,1,2016-08-19,2016,8,19,21:02:00,21,AVENIDA,"PELLEGRINI, CARLOS",Si,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,Point (107558.64146875 104433.48706482),-34.58927731,-58.38090932,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0107,CONDUCTOR,MASCULINO,21,1,2016-08-20,2016,8,20,08:22:00,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,No,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,Point (108408.31858686 97219.56218484),-34.65429986,-58.37157668,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0109,CONDUCTOR,FEMENINO,53,1,2016-08-24,2016,8,24,05:45:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,Si,AUTOPISTA PERITO MORENO y BARRAGAN,9,Point (94544.31344300 99185.28796442),-34.63659934,-58.52280139,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,ADULTOS MAYORES
